"source","target"
"mainmenu.update","Una nova versió està disponible per descarregar per itch.io !"
"mainmenu.sharedata","Acceptes compartir informació estadística amb Source Macchiato ?"
"mainmenu.newgame","Nova partida"
"mainmenu.continue","Continua"
"mainmenu.customnight","Nit personalitzada"
"mainmenu.night","Nit"
"mainmenu.options","Opcions"
"mainmenu.language","Idioma"
"mainmenu.credits","Crèdits"
"mainmenu.layout","Distribució"
"mainmenu.volume","Volum"
"mainmenu.controls","Controls"
"mainmenu.motioncontrolsdescription","Controls de moviment Wiimote"
"mainmenu.displaypointerdescription","Mostra punter del Wiimote"
"mainmenu.shareanalyticsdescription","Compartir dades d'anàlisi"
"mainmenu.audio","Audio"
"mainmenu.generalvolume","Volum general"
"mainmenu.musicvolume","Volum de Música"
"mainmenu.voicevolume","Volum de Veus"
"mainmenu.sfxvolume","Volum d'Efectes de so"
"customnight.ailevel","Nivell de l'I.A."
"customnight.ready","Llestos"
"difficulty.easy","Fàcil"
"difficulty.medium","Mitjà"
"difficulty.hard","Difícil"
"difficulty.extreme","Extrem"
"nextnight.firstnight","1a Nit"
"nextnight.secondnight","2a Nit"
"nextnight.thirdnight","3a Nit"
"nextnight.fourthnight","4a Nit"
"nextnight.fifthnight","5a Nit"
"nextnight.sixthnight","6a Nit"
"nextnight.seventhnight","7a Nit"
"office.night","Nit"
"office.usage","Ús Energia:"
"office.power","Energia Restant:"
"camera.showstage","Escenari"
"camera.diningarea","Menjador"
"camera.piratecove","Cova dels Pirates"
"camera.westhall","Passadís Oest"
"camera.westhallcorner","Cantonat Passadís Oest"
"camera.supplycloset","Armari de Subministris"
"camera.easthall","Passadís Est"
"camera.easthallcorner","Cantonat Passadís Est"
"camera.backstage","Traster"
"camera.kitchen","Cuina"
"camera.restrooms","Lavabos"
"nightone.phoneguy.lineone","Hola? Hola, hola? Eh, volia gravar un missatge per a ajudar-te a la teva primera nit."
"nightone.phoneguy.linetwo","Aah, jo vaig treballar en la mateixa oficina a la qual estàs. Estic acabant la meva última setmana, de fet. Ara,"
"nightone.phoneguy.linethree","entenc que et pot semblar massa, però estic aquí per dir-te que no has de preocupar-te de res."
"nightone.phoneguy.linefour","I... ho faràs bé. Així que fiquem focus a acabar la teva primera setmana, d'acord?"
"nightone.phoneguy.linefive","Eh, veiem, primer tenim una benvolguda de la companyia que se suposa que he de llegir."
"nightone.phoneguy.linesix","Uh, és una coseta legal, ja sap. Erm, ""Benvolgut a Freddy Fazbear's Pizza."
"nightone.phoneguy.lineseven","Un lloc màgic per totes les edats, on la fantasia i diversió van combinades."
"nightone.phoneguy.lineheight","Fazbear Entertainment no es responsabilitza dels danys cap a la propietat o persona."
"nightone.phoneguy.linenine","En descobrir danys o morts, un report de desaparició es presentarà dins del termini de 90 dies, o tan aviat"
"nightone.phoneguy.lineten","la propietat i instal·lacions siguin netejades i planxades amb cura, i les catifes hagin sigut reemplaçades."""
"nightone.phoneguy.lineeleven","Bla, bla, bla. Ara, això pot sonar malament, ho sé, però no hi ha res pel qual preocupar-se."
"nightone.phoneguy.linetwelve","Eh, l'animació electrònica d'aquí es posen una mica estranys a la nit, però els hi culpo? No."
"nightone.phoneguy.linethirteen","¿Si jo hagués de cantar les mateixes cançons infantils per vint anys sense dutxar-me?"
"nightone.phoneguy.linefourteen","també estaria una mica irritat a la nit. Així que, recorda't, aquests personatges tenen"
"nightone.phoneguy.linefifteen","un lloc especial als cors dels nens i hem de respectar-los, entesos? D'acord."
"nightone.phoneguy.linesixteen","Simplement, tingues en compte que l'animació electrònica tendeixen a moure's una miqueta. I... tenen alguna mena de"
"nightone.phoneguy.lineseventeen","mode de moviment lliure a la nit. I... alguna cosa sobre dels mecanismes bloquejant-se"
"nightone.phoneguy.lineeighteen","si s'apaguen per massa temps. Ah, també es podien moure pel dia."
"nightone.phoneguy.linenineteen","Però després va passar La Mossegada del 87. Seh. É-És increïble com el cos humà pot viure sense el lòbul frontal, saps?"
"nightone.phoneguy.linetwenty","Ara, sobre la teva seguretat, l'únic risc que tens com a vigilant, si n'hi ha,"
"nightone.phoneguy.linetwentyone","és el fet que l'animació electrònica, en el cas que et trobin, no et reconeixeran com a persona."
"nightone.phoneguy.linetwentytwo","Probab- segurament et veuran com a un endoesquelet sense la seva disfressa."
"nightone.phoneguy.linetwentythree","Ja que això està en contra de les regles aquí al Freddy Fazbear's Pizza, ells potser intentaran..."
"nightone.phoneguy.linetwentyfour","ficar-te a les males en un vestit de Freddy Fazbear. Ara, no seria un problema"
"nightone.phoneguy.linetwentyfive","si els vestits no estiguessin plens de barrots, cables, i dispositius animatrónics,"
"nightone.phoneguy.linetwentysix","especialment per la zona del rostre. Així que imaginaries que tenir el teu cap"
"nightone.phoneguy.linetwentyseven","posat a pressió a dins d'això podria provocar una mica de malestar... i mort."
