"source","target"
"mainmenu.update","Eine neue Version ist verfügbar! Lade sie auf itch.io herunter!"
"mainmenu.sharedata","Akzeptierst du die Weitergabe statistischer Information an Source Macchiato ?"
"mainmenu.newgame","Neues Spiel"
"mainmenu.continue","Fortsetzen"
"mainmenu.customnight","Personalisierte Nacht"
"mainmenu.night","Nacht"
"mainmenu.options","Optionen"
"mainmenu.language","Sprache"
"mainmenu.credits","Credits"
"mainmenu.layout","Layout"
"mainmenu.volume","Lautstärke"
"mainmenu.controls","Steuerung"
"mainmenu.motioncontrolsdescription","Bewegungssteuerung der Wii-Fernbedienung"
"mainmenu.displaypointerdescription","Zeiger der Wii-Fernbedienung anzeigen"
"mainmenu.shareanalyticsdescription","Analytische Daten teilen"
"mainmenu.audio","Audio"
"mainmenu.generalvolume","Allgemeine Lautstärke"
"mainmenu.musicvolume","Musiklautstärke"
"mainmenu.voicevolume","Stimmenlautstärke"
"mainmenu.sfxvolume","Lautstärke der Soundeffekte"
"customnight.ailevel","K.I. Level"
"customnight.ready","Bereit"
"difficulty.easy","Einfach"
"difficulty.medium","Medium"
"difficulty.hard","Schwer"
"difficulty.extreme","Extrem"
"nextnight.firstnight","Nacht 1"
"nextnight.secondnight","Nacht 2"
"nextnight.thirdnight","Nacht 3"
"nextnight.fourthnight","Nacht 4"
"nextnight.fifthnight","Nacht 5"
"nextnight.sixthnight","Nacht 6"
"nextnight.seventhnight","Nacht 7"
"office.night","Nacht"
"office.usage","Verwendung:"
"office.power","Strom übrig:"
"camera.showstage","Bühne"
"camera.diningarea","Essbereich"
"camera.piratecove","Piratenbucht"
"camera.westhall","Westflur"
"camera.westhallcorner","Ecke Westflur"
"camera.supplycloset","Versorgungsschrank"
"camera.easthall","Ostflur"
"camera.easthallcorner","Ecke Ostflur"
"camera.backstage","Hinter der Bühne"
"camera.kitchen","Küche"
"camera.restrooms","Toiletten"
"nightone.phoneguy.lineone","Hallo? Hallo, hallo? Ähhm, Ich wollte eine Nachricht aufnehmen um dir zu helfen dich in der ersten Nacht einzuleben."
"nightone.phoneguy.linetwo","Ähhm, Ich habe tatsächlich vor dir in diesem Büro gearbeitet. Ich beende hier gerade meine letzte Woche. Also,"
"nightone.phoneguy.linethree","Ich weiß es kann ein bisschen überwältigend sein, aber ich bin hier um dir zu sagen dass du dir keine Sorgen machen musst."
"nightone.phoneguy.linefour","Ähhm, du wirst es schaffen. Also, lass uns drauf fokussieren dich durch deine erste Woche zu bringen, okay?"
"nightone.phoneguy.linefive","Ähhm, lass mal sehen, Zuerst gibt es ein einleitendes Grußwort des Unternehmens, welches ich vorlesen soll."
"nightone.phoneguy.linesix","Ähhm, es ist eine Art legale Sache, weißt du. Ähhm, ""Willkommen bei Freddy Fazbear's Pizza."
"nightone.phoneguy.lineseven","Ein magischer Ort für Kinder und Erwachsene, wo Fantasien und Spaß zum Leben erweckt werden."
"nightone.phoneguy.lineheight","Fazbear Entertainment ist nicht verantwortlich für Schaden an Eigentum oder Personen."
"nightone.phoneguy.linenine","Wenn festgestellt wird, dass ein Schaden oder ein Todesfall eingetreten ist, wird innerhalb von 90 Tagen oder so bald wie möglich eine Vermisstenanzeige eingereicht"
"nightone.phoneguy.lineten","oder sobald das Eigentum und die Räumlichkeiten gründlich gereinigt, gebleicht und die Teppiche ausgetauscht wurden."""
"nightone.phoneguy.lineeleven","Blah, blah, blah. Nun das könnte schlecht klingen, aber ich weiß, es gibt wirklich Nichts worüber man sich sorgen machen muss."
"nightone.phoneguy.linetwelve","Ähhm, die animatronischen Figuren hier werden Nachts ein bisschen skurril, aber gib ich denen die Schuld? Nein."
"nightone.phoneguy.linethirteen","Wenn ich gezwungen werde die selben dummen Songs 20 Jahre zu singen und ich bekäme nie ein Bad?"
"nightone.phoneguy.linefourteen","Dann wäre ich Nachts auch ein bisschen reizbar. Also, denk dran, diese Figuren halten einen"
"nightone.phoneguy.linefifteen","speziellen Platz im Herzen der Kinder und wir müssen denen ein bisschen Respekt zeigen, richtig? Okay."
"nightone.phoneguy.linesixteen","Also, nur um dessen bewusst zu sein, die Figuren neigen schon ein bisschen herumzuwandern. Ähhm, Sie werden nachts in einer Art"
"nightone.phoneguy.lineseventeen","free roaming-Modus gelassen. Ähhm... Irgendetwas mit dem Blockieren ihrer Servos"
"nightone.phoneguy.lineeighteen","wenn sie zu lange ausgeschaltet werden. Ähhm, früher wurden sie erlaubt auch während des Tages herumzulaufen."
"nightone.phoneguy.linenineteen","Aber dann kam der Bite of '87. Jaaa. E-Es ist erstaunlich, dass der menschliche Körper ohne den Frontallappen leben kann, weißt du?"
"nightone.phoneguy.linetwenty","Ähhm, nun zu deiner Sicherheit, das einzig wahre Risiko hier für dich als Nachtwächter, wenn überhaupt,"
"nightone.phoneguy.linetwentyone","ist der Fakt dass diese Figuren, ähhm, wenn sie dich nach Feierabend sehen, werden sie dich wahrscheinlich nicht als Person erkennen."
"nightone.phoneguy.linetwentytwo","Sie werden vi- sie werden dich sehr wahrscheinlich als Metall-Endoskelett ohne seinen Anzug sehen."
"nightone.phoneguy.linetwentythree","Jetzt, da dies hier in Freddy Fazbear's Pizza gegen den Regeln ist, werden sie wahrscheinlich versuchen..."
"nightone.phoneguy.linetwentyfour","dich gewaltsam in einen Freddy Fazbear Anzug zu stopfen. Ähhm, nun, das wäre nicht so schlimm"
