"source","target"
"mainmenu.update","Yeni bir sürüm mevcut, itch.io'dan indir!"
"mainmenu.sharedata","Oyunu başlatma sıklığı gibi istatistiksel bilgilerin Source Macchiato ile paylaşılmasını kabul ediyor musunuz?"
"mainmenu.newgame","Yeni Oyun"
"mainmenu.continue","Devam Et"
"mainmenu.customnight","Özel Gece"
"mainmenu.night","Gece"
"mainmenu.options","Ayarlar"
"mainmenu.language","Dil"
"mainmenu.credits","Emeği geçenler"
"mainmenu.layout","Düzen"
"mainmenu.volume","Ses düzeyi"
"mainmenu.controls","Kontroller"
"mainmenu.motioncontrolsdescription","Wii uzaktan kumanda kontrolleri"
"mainmenu.displaypointerdescription","Wii imlecini göster"
"mainmenu.shareanalyticsdescription","Analitik verileri paylaş"
"mainmenu.audio","Ses"
"mainmenu.generalvolume","Genel ses seviyesi"
"mainmenu.musicvolume","Müzik ses seviyesi"
"mainmenu.voicevolume","Konuşma sesi seviyesi"
"mainmenu.sfxvolume","Ses efektleri seviyesi"
"customnight.ailevel","Y.Z. Seviyesi"
"customnight.ready","Hazır"
"difficulty.easy","Kolay"
"difficulty.medium","Orta"
"difficulty.hard","Zor"
"difficulty.extreme","Aşırı zor"
"nextnight.firstnight","1. Gece"
"nextnight.secondnight","2. Gece"
"nextnight.thirdnight","3. Gece"
"nextnight.fourthnight","4. Gece"
"nextnight.fifthnight","5. Gece"
"nextnight.sixthnight","6. Gece"
"nextnight.seventhnight","7. Gece"
"office.night","Gece"
"office.usage","Kullanım:"
"office.power","Kalan Güç:"
"camera.showstage","Gösteri Sahnesi"
"camera.diningarea","Yemek Alanı"
"camera.piratecove","Korsan Koyu"
"camera.westhall","Batı Koridoru"
"camera.westhallcorner","Batı Koridoru Köşesi"
"camera.supplycloset","Malzeme Dolabı"
"camera.easthall","Doğu Koridoru"
"camera.easthallcorner","Doğu Koridoru Köşesi"
"camera.backstage","Sahne Arkası"
"camera.kitchen","Mutfak"
"camera.restrooms","Tuvaletler"
"nightone.phoneguy.lineone","Merhaba? Merhaba, merhaba? Ehm, ilk gecenizde size yardımcı olabilmek için bir mesaj kaydetmek istedim."
"nightone.phoneguy.linetwo","Aslında, sizden önce o ofiste çalışıyordum. Şuan son haftamı bitiriyorum. Yani,"
"nightone.phoneguy.linethree","bunun biraz bunaltıcı olabileceğini biliyorum, ama endişelenecek bir şey yok, size gayet iyi olacağınızı"
"nightone.phoneguy.linefour","söylemek için burdayım. İlk haftanızı atlatmaya odaklanalım, tamam mı?"
"nightone.phoneguy.linefive","Eee, bakalım, şirketten gelen okumam gereken bir tanıtım mesajı var."
"nightone.phoneguy.linesix","bu aslında yasal bir durum, biliyorsunuz. ee, ""Freddy Fazbear'ın Pizza dükkanına hoş geldiniz."
"nightone.phoneguy.lineseven","Çocuklar ve yetişkinler için büyülü olan, hayal gücü ve eğlencenin hayat bulduğu bir yer."
"nightone.phoneguy.lineheight","Fazbear Şirketi, mal veya kişi zararlarından sorumlu değildir."
"nightone.phoneguy.linenine","Zarar veya ölüm tespit edilirse, kaybolan kişi raporu 90 gün içinde dosyalanacaktır ve"
"nightone.phoneguy.lineten","mal ve tesisler iyice temizlenip çamaşır suyu ile dezenfekte edilip halılar yenilenecektir."""
"nightone.phoneguy.lineeleven","vesaire vesaire, Şimdi bu kulağa kötü gibi gelebilir, biliyorum, ama gerçekten endişelenecek bir şey yok."
"nightone.phoneguy.linetwelve","Buradaki animatronik karakterler gece biraz tuhaflaşabiliyor, ama onları suçluyor muyum? Hayır."
"nightone.phoneguy.linethirteen","Eğer ben, o aynı aptal şarkıları yirmi yıl boyunca söylemek zorunda kalsaydım ve bir kere bile banyo yapmasaydım?"
"nightone.phoneguy.linefourteen","Ben de muhtemelen geceleri biraz huysuz olurdum. O yüzden unutmayın, bu karakterlerin çocukların kalbinde özel bir yeri var"
"nightone.phoneguy.linefifteen","ve onlara biraz saygı göstermeliyiz, değil mi? Tamam mı?"
"nightone.phoneguy.linesixteen","Yani, dikkatli olun, karakterler dolaşmaya biraz eğilimliler. Eee, gece bir tür"
"nightone.phoneguy.lineseventeen","serbest dolaşma moduna bırakılıyorlar. Uh... motorlarının uzun süre kapalı kalınca"
"nightone.phoneguy.lineeighteen","kitlenmesiyle alakalı birşey. Eskiden gündüzleri de kıpırdamalarına izin verilirdi."
"nightone.phoneguy.linenineteen","ama sonra 87'deki Isırık oldu. İnsan vücudunun ön beyin lobu olmadan yaşayabilmesi inanılmaz, değil mi?"
"nightone.phoneguy.linetwenty","Eee, şimdi güvenliğinizle ilgili, burada gece bekçisi olarak karşılaşabileceğiniz tek gerçek tehlike"
"nightone.phoneguy.linetwentyone","bu karakterler, eğer nöbetten sonra sizi görürlerse, sizi"
"nightone.phoneguy.linetwentytwo","büyük ihtimalle sizi kıyafeti olmayan bir metal iskelet olarak görecekler."
"nightone.phoneguy.linetwentythree","Şimdi, bu Freddy Fazbear's Pizza'da kurallara aykırı olduğu için, sizi zorla.."
"nightone.phoneguy.linetwentyfour","Freddy Fazbear kostümüne sokmaya çalışacaklar. Uhh, şimdi, bu o kostümler teller ve animatronik cihazlarla dolu olmasaydı"
"nightone.phoneguy.linetwentyfive","o kadar kötü olmazdı."
"nightone.phoneguy.linetwentysix","Özellikle yüz bölgesinde. Kafanızın zorla içeriye sıkıştırılmasının ne kadar"
"nightone.phoneguy.linetwentyseven","rahatsız ve ölümcül olabileceğini hayal edebilirsiniz."
"nightone.phoneguy.linetwentyheight","Eee, muhtemelen günışığını tekrar görebilecek tek parçalarınız gözleriniz"
"nightone.phoneguy.linetwentynine","ve maskenin önünden çıktığında dişleriniz olucaktır."
"nightone.phoneguy.linethirty","E-Evet, bunları iş başvurusunda size söylemiyorlar. Ama hey, ilk gün kolay olmalı."
"nightone.phoneguy.linethirtyone","Yarın konuşuruz. Eee, kameraları kontrol etmeyi unutma ve kapıları"
"nightone.phoneguy.linethirtytwo","ancak gerçekten gerekirse kapatmayı. Güçten tasarruf etmelisin. Tamamdır, iyi geceler."
"nighttwo.phoneguy.lineone","Eee, Merhaba? Merhaba? eğer bunu duyuyorsanız ve ikinci güne ulaştınız, tebrikler!"
"nighttwo.phoneguy.linetwo","Bu sefer çok uzun konuşmayacağım çünkü Freddy ve arkadaşları hafta ilerledikçe daha aktif olmaya başlıyolar."
"nighttwo.phoneguy.linethree","Eee, ben konuşurken herkesin uygun yerinde olduğundan emin olmak için"
"nighttwo.phoneguy.linefour","o kameraları kontrol etmek iyi bir fikir olabilir. Biliyorsun..."
"nighttwo.phoneguy.linefive","Eee... ilginç bir şekilde, Freddy genellikle sahneden pek inmez."
"nighttwo.phoneguy.linesix","Karanlıkta daha aktif olduğunu duydum ama hey,"
"nighttwo.phoneguy.lineseven","sanırım bu da gücü bitirmemek için bir neden daha, değil mi?"
"nighttwo.phoneguy.lineheight","Ayrıca kapı ışıklarını kullanmanın önemini vurgulamak istiyorum."
"nighttwo.phoneguy.linenine","Kameralarınızda kör noktalar var ve bu kör noktalar tam olarak kapılarınızın dışında."
"nighttwo.phoneguy.lineten","Yani, eğer kameralarınızda birşeyi yada birilerini bulamıyorsanız kapı ışıklarını kontrol ettiğinizden emin olun."
"nighttwo.phoneguy.lineeleven","Eee, tepki vermek için sadece birkaç saniyeniz olabilir... Eee, tabii ki herhangi bir tehlikede olucağınızdan değil."
"nighttwo.phoneguy.linetwelve","Bunu ima etmiyorum. Ayrıca arada bir Korsan Koyu'ndaki perdenin durumuna da bak."
"nighttwo.phoneguy.linethirteen","Oradaki karakter, kameralar uzun süre kapalı kaldığında daha aktif hale geliyor gibi."
"nighttwo.phoneguy.linefourteen","Herhalde izlenmekten hoşlanmıyor. Bilmiyorum."
"nighttwo.phoneguy.linefifteen","Her neyse, eminim her şey kontrolün altındadır! Eee, yakında görüşürüz."
"nighthree.phoneguy.lineone","Merhaba, merhaba? Hey, çok iyi gidiyorsun! Çoğu insan bu kadar uzun süre dayanmaz."
"nighthree.phoneguy.linetwo","Yani, bilirsin, genelde şimdiye kadar başka şeylere yönelirler. Öldüklerini ima etmiyorum."
"nighthree.phoneguy.linethree","B-b-bunu demek istemedim. Eh, her neyse, fazla zamanını almıyim."
"nighthree.phoneguy.linefour","Bu gece işler gerçekten ciddileşiyor. Eh... hey, dinle, bir fikrim var, Eğer yakalanırsan"
"nighthree.phoneguy.linefive","ve Freddy kostümüne sıkıştırılmak istemiyosan, eh, ölü gibi davranmayı dene! Yani, sal kendini."
"nighthree.phoneguy.linesix","O zaman belki, uh, sizi boş bir kostüm olarak düşünebilirler."
"nighthree.phoneguy.lineseven","Ama sizi boş bir kostüm olarak düşünürlerse, içinize metal bir iskelet koymayı deneyebilirler..."
"nighthree.phoneguy.lineheight","O nasıl olurdu merak ediyorum. Ehh, boş ver onu. En iyisi yakalanmamak."
"nighthree.phoneguy.linenine","Eh... tamam, seni işinle baş başa bırakıyorum . Görüşmek üzere!"
"nightfour.phoneguy.lineone","Merhaba, merhaba? Hey! Hey, vay be, 4. gün. Yapabileceğini biliyordum. Eh, hey, dinle,"
"nightfour.phoneguy.linetwo","Yarın sana bir mesaj gönderemeyebilirim. *gürültü* Burada gece benim için çok kötü geçti."
"nightfour.phoneguy.linethree","Eh, ben iyi ki de senin için mesajlarımı kaydetmişim *boğaz temizleme*"
"nightfour.phoneguy.linefour","Eh, bana bir iyilik yap. *gürültü* Belki bir ara, eh, o arka odadaki kostümleri kontrol et"
"nightfour.phoneguy.linefive","*gürültü* Biri kontrol edene kadar dayanmaya çalışacağım. Belki o kadarda kötü olmaz."
"nightfour.phoneguy.linesix","*pat pat* Eh, ben hep o boş kafaların içinde ne olduğunu merak etmişimdir. *melodi çalar*"
"nightfour.phoneguy.lineseven","Bilirsin... *derin inleme* oh, hayır - *sesler, ardından yüksek bir çığlık ve statik*"
"nightfive.phoneguy.lineone","nadiren çağdaşlarını tanır (Atlanmış: ödül; sahip olmak yeterlidir) yaratıcı sevinci (Atlanmış: hizmet.)"
